meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
0.05978099 ,0.06424127 ,0.03202691 ,0.01507149 ,0.09019344 ,0.07512195 ,12.86346184 ,274.40290550 ,0.89336942 ,0.49191777 ,0.00000000 ,0.05978099 ,0.08427911 ,0.01570167 ,0.27586207 ,0.00781250 ,0.00781250 ,0.00781250 ,0.00000000 ,0.00000000 ,male
0.06600874 ,0.06731003 ,0.04022874 ,0.01941387 ,0.09266619 ,0.07325232 ,22.42328536 ,634.61385450 ,0.89219324 ,0.51372384 ,0.00000000 ,0.06600874 ,0.10793655 ,0.01582592 ,0.25000000 ,0.00901442 ,0.00781250 ,0.05468750 ,0.04687500 ,0.05263158 ,male
0.07731550 ,0.08382942 ,0.03671846 ,0.00870106 ,0.13190802 ,0.12320696 ,30.75715458 ,1024.92770500 ,0.84638909 ,0.47890498 ,0.00000000 ,0.07731550 ,0.09870626 ,0.01565558 ,0.27118644 ,0.00799006 ,0.00781250 ,0.01562500 ,0.00781250 ,0.04651163 ,male
0.15122809 ,0.07211059 ,0.15801119 ,0.09658173 ,0.20795525 ,0.11137352 ,1.23283128 ,4.17729621 ,0.96332246 ,0.72723180 ,0.08387819 ,0.15122809 ,0.08896485 ,0.01779755 ,0.25000000 ,0.20149740 ,0.00781250 ,0.56250000 ,0.55468750 ,0.24711908 ,male
0.13512039 ,0.07914610 ,0.12465623 ,0.07872022 ,0.20604493 ,0.12732471 ,1.10117367 ,4.33371316 ,0.97195508 ,0.78356806 ,0.10426140 ,0.13512039 ,0.10639785 ,0.01693122 ,0.26666667 ,0.71281250 ,0.00781250 ,5.48437500 ,5.47656250 ,0.20827389 ,male
0.13278641 ,0.07955687 ,0.11908985 ,0.06795799 ,0.20959160 ,0.14163361 ,1.93256243 ,8.30889504 ,0.96318135 ,0.73830700 ,0.11255543 ,0.13278641 ,0.11013192 ,0.01711230 ,0.25396825 ,0.29822198 ,0.00781250 ,2.72656250 ,2.71875000 ,0.12515964 ,male
0.15076233 ,0.07446321 ,0.16010638 ,0.09289894 ,0.20571809 ,0.11281915 ,1.53064323 ,5.98749766 ,0.96757307 ,0.76263767 ,0.08619681 ,0.15076233 ,0.10594452 ,0.02622951 ,0.26666667 ,0.47961957 ,0.00781250 ,5.31250000 ,5.30468750 ,0.12399187 ,male
0.16051433 ,0.07676689 ,0.14433678 ,0.11053217 ,0.23196188 ,0.12142971 ,1.39715637 ,4.76661070 ,0.95925457 ,0.71985791 ,0.12832407 ,0.16051433 ,0.09305243 ,0.01775805 ,0.14414414 ,0.30133929 ,0.00781250 ,0.53906250 ,0.53125000 ,0.28393665 ,male
0.14223942 ,0.07801846 ,0.13858744 ,0.08820628 ,0.20858744 ,0.12038117 ,1.09974615 ,4.07028371 ,0.97072293 ,0.77099205 ,0.21910314 ,0.14223942 ,0.09672895 ,0.01795735 ,0.25000000 ,0.33647629 ,0.00781250 ,2.16406250 ,2.15625000 ,0.14827202 ,male
0.13432878 ,0.08035003 ,0.12145135 ,0.07557999 ,0.20195712 ,0.12637713 ,1.19036844 ,4.78730983 ,0.97524614 ,0.80450525 ,0.01169874 ,0.13432878 ,0.10588093 ,0.01930036 ,0.26229508 ,0.34036458 ,0.01562500 ,4.69531250 ,4.67968750 ,0.08991998 ,male
